Rang,Nom,Club,Sélection nationale,Points,%
1,Ronaldo,Inter Milan Real Madrid,Brésil,169,0.21666666666666667
2,Roberto Carlos,Real Madrid,Brésil,145,0.1858974358974359
3,Oliver Kahn,Bayern Munich,Allemagne,110,0.14102564102564102
4,Zinédine Zidane,Real Madrid,France,78,0.1
5,Michael Ballack,Bayer Leverkusen Bayern Munich,Allemagne,71,0.09102564102564102
6,Thierry Henry,Arsenal,France,54,0.06923076923076923
7,Raúl,Real Madrid,Espagne,38,0.04871794871794872
8,Rivaldo,FC Barcelone Milan AC,Brésil,31,0.03974358974358974
9,Yıldıray Baştürk,Bayer Leverkusen,Turquie,13,0.016666666666666666
10,Alessandro Del Piero,Juventus,Italie,12,0.015384615384615385
11,Hasan Şaş,Galatasaray,Turquie,10,0.01282051282051282
12,Ronaldinho,Paris Saint-Germain,Brésil,8,0.010256410256410256
13,Michael Owen,Liverpool,Angleterre,5,0.00641025641025641
13,Ruud van Nistelrooy,Manchester United,Pays-Bas,5,0.00641025641025641
15,Cafu,AS Rome,Brésil,4,0.005128205128205128
15,Bernd Schneider,Bayer Leverkusen,Allemagne,4,0.005128205128205128
15,Juan Carlos Valerón,Deportivo La Corogne,Espagne,4,0.005128205128205128
15,Patrick Vieira,Arsenal,France,4,0.005128205128205128
19,Luís Figo,Real Madrid,Portugal,3,0.0038461538461538464
19,Lúcio,Bayer Leverkusen,Brésil,3,0.0038461538461538464
21,Papa Bouba Diop,RC Lens,Sénégal,2,0.002564102564102564
21,El-Hadji Diouf,RC Lens Liverpool,Sénégal,2,0.002564102564102564
21,Rio Ferdinand,Leeds United Manchester United,Angleterre,2,0.002564102564102564
24,Rubén Baraja,Valence CF,Espagne,1,0.001282051282051282
24,Filippo Inzaghi,Milan AC,Italie,1,0.001282051282051282
24,Roy Makaay,Deportivo La Corogne,Pays-Bas,1,0.001282051282051282
