Rang,Joueur,Club,Sélection nationale,Poste,Points,%
1,Lionel Messi,FC Barcelone,Argentine,Attaquant,686,0.24360795454545456
2,Virgil van Dijk,Liverpool FC,Pays-Bas,Défenseur,679,0.2411221590909091
3,Cristiano Ronaldo,Juventus FC,Portugal,Attaquant,476,0.1690340909090909
4,Sadio Mané,Liverpool FC,Sénégal,Attaquant,347,0.12322443181818182
5,Mohamed Salah,Liverpool FC,Égypte,Attaquant,178,0.06321022727272728
6,Kylian Mbappé,Paris Saint-Germain,France,Attaquant,89,0.03160511363636364
7,Alisson,Liverpool FC,Brésil,Gardien de but,67,0.023792613636363636
8,Robert Lewandowski,Bayern Munich,Pologne,Attaquant,44,0.015625
9,Bernardo Silva,Manchester City,Portugal,Milieu de terrain Attaquant,41,0.01455965909090909
10,Riyad Mahrez,Manchester City,Algérie,Attaquant,33,0.01171875
11,Frenkie de Jong,Ajax Amsterdam FC Barcelone,Pays-Bas,Milieu de terrain,31,0.011008522727272728
12,Raheem Sterling,Manchester City,Angleterre,Attaquant,30,0.01065340909090909
13,Eden Hazard,Chelsea FC Real Madrid,Belgique,Milieu de terrain Attaquant,25,0.00887784090909091
14,Kevin De Bruyne,Manchester City,Belgique,Milieu de terrain,14,0.004971590909090909
15,Matthijs de Ligt,Ajax Amsterdam Juventus FC,Pays-Bas,Défenseur,13,0.004616477272727273
16,Sergio Agüero,Manchester City,Argentine,Attaquant,12,0.004261363636363636
17,Roberto Firmino,Liverpool FC,Brésil,Attaquant,11,0.00390625
18,Antoine Griezmann,Atlético de Madrid FC Barcelone,France,Milieu de terrain Attaquant,9,0.0031960227272727275
19,Trent Alexander-Arnold,Liverpool FC,Angleterre,Défenseur,8,0.002840909090909091
20,Pierre-Emerick Aubameyang,Arsenal FC,Gabon,Attaquant,5,0.0017755681818181818
20,Dušan Tadić,Ajax Amsterdam,Serbie,Milieu de terrain Attaquant,5,0.0017755681818181818
22,Son Heung-min,Tottenham Hotspur,Corée du Sud,Attaquant,4,0.0014204545454545455
23,Hugo Lloris,Tottenham Hotspur,France,Gardien de but,3,0.001065340909090909
24,Kalidou Koulibaly,SSC Naples,Sénégal,Défenseur,2,0.0007102272727272727
24,Marc-André ter Stegen,FC Barcelone,Allemagne,Gardien de but,2,0.0007102272727272727
26,Karim Benzema,Real Madrid,France,Attaquant,1,0.0003551136363636364
26,Georginio Wijnaldum,Liverpool FC,Pays-Bas,Milieu de terrain,1,0.0003551136363636364
28,João Félix,Benfica Lisbonne Atlético de Madrid,Portugal,Milieu de terrain,0,0.0
28,Marquinhos,Paris Saint-Germain,Brésil,Défenseur Milieu de terrain,0,0.0
28,Donny van de Beek,Ajax Amsterdam,Pays-Bas,Milieu de terrain,0,0.0
