Rang,Nom,Club,Sélection nationale,Pourcentage
1,Lionel Messi,FC Barcelone,Argentine,"41,60 %"
2,Cristiano Ronaldo,Real Madrid,Portugal,"23,68 %"
3,Andrés Iniesta,FC Barcelone,Espagne,"10,91 %"
4,Xavi,FC Barcelone,Espagne,"4,08 %"
5,Radamel Falcao,Atlético Madrid,Colombie,"3,67 %"
6,Iker Casillas,Real Madrid,Espagne,"3,18 %"
7,Andrea Pirlo,Juventus,Italie,"2,66 %"
8,Didier Drogba,Chelsea Galatasaray SK,Côte d’Ivoire,"2,60 %"
9,Robin van Persie,Arsenal Manchester United,Pays-Bas,"1,45 %"
10,Zlatan Ibrahimović,AC Milan Paris Saint-Germain,Suède,"1,24 %"
11,Xabi Alonso,Real Madrid,Espagne,"1,09 %"
12,Yaya Touré,Manchester City,Côte d’Ivoire,"0,76 %"
13,Neymar,Santos FC,Brésil,"0,61 %"
14,Mesut Özil,Real Madrid,Allemagne,"0,41 %"
15,Wayne Rooney,Manchester United,Angleterre,"0,39 %"
16,Gianluigi Buffon,Juventus,Italie,"0,35 %"
17,Sergio Agüero,Manchester City,Argentine,"0,30 %"
18,Sergio Ramos,Real Madrid,Espagne,"0,22 %"
19,Manuel Neuer,Bayern Munich,Allemagne,"0,21 %"
20,Sergio Busquets,FC Barcelone,Espagne,"0,20 %"
21,Gerard Piqué,FC Barcelone,Espagne,"0,11 %"
21,Karim Benzema,Real Madrid,France,"0,11 %"
23,Mario Balotelli,Manchester City,Italie,"0,07 %"
4,Xavi,FC Barcelone,Espagne,"4,08 %"
5,Radamel Falcao,Atlético Madrid,Colombie,"3,67 %"
6,Iker Casillas,Real Madrid,Espagne,"3,18 %"
7,Andrea Pirlo,Juventus,Italie,"2,66 %"
8,Didier Drogba,Chelsea Galatasaray SK,Côte d’Ivoire,"2,60 %"
9,Robin van Persie,Arsenal Manchester United,Pays-Bas,"1,45 %"
10,Zlatan Ibrahimović,AC Milan Paris Saint-Germain,Suède,"1,24 %"
11,Xabi Alonso,Real Madrid,Espagne,"1,09 %"
12,Yaya Touré,Manchester City,Côte d’Ivoire,"0,76 %"
13,Neymar,Santos FC,Brésil,"0,61 %"
14,Mesut Özil,Real Madrid,Allemagne,"0,41 %"
15,Wayne Rooney,Manchester United,Angleterre,"0,39 %"
16,Gianluigi Buffon,Juventus,Italie,"0,35 %"
17,Sergio Agüero,Manchester City,Argentine,"0,30 %"
18,Sergio Ramos,Real Madrid,Espagne,"0,22 %"
19,Manuel Neuer,Bayern Munich,Allemagne,"0,21 %"
20,Sergio Busquets,FC Barcelone,Espagne,"0,20 %"
21,Gerard Piqué,FC Barcelone,Espagne,"0,11 %"
21,Karim Benzema,Real Madrid,France,"0,11 %"
23,Mario Balotelli,Manchester City,Italie,"0,07 %"
