Rang,Nom,Club,Sélection nationale,Points,%
1,Cristiano Ronaldo,Real Madrid,Portugal,745,0.47848426461143223
2,Lionel Messi,FC Barcelone,Argentine,316,0.2029543994861914
3,Antoine Griezmann,Atlético Madrid,France,198,0.12716763005780346
4,Luis Suárez,FC Barcelone,Uruguay,91,0.05844572896596018
5,Neymar,FC Barcelone,Brésil,68,0.04367373153500321
6,Gareth Bale,Real Madrid,Pays de Galles,60,0.038535645472061654
7,Riyad Mahrez,Leicester City,Algérie,20,0.012845215157353885
8,Jamie Vardy,Leicester City,Angleterre,11,0.007064868336544637
9,Gianluigi Buffon,Juventus FC,Italie,8,0.005138086062941554
9,Pepe,Real Madrid,Portugal,8,0.005138086062941554
11,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,7,0.00449582530507386
12,Rui Patrício,Sporting CP,Portugal,6,0.0038535645472061657
13,Zlatan Ibrahimović,Paris Saint-Germain Manchester United,Suède,5,0.0032113037893384713
14,Paul Pogba,Juventus FC Manchester United,France,4,0.002569043031470777
14,Arturo Vidal,Bayern Munich,Chili,4,0.002569043031470777
16,Robert Lewandowski,Bayern Munich,Pologne,3,0.0019267822736030828
17,Toni Kroos,Real Madrid,Allemagne,1,0.0006422607578676942
17,Luka Modrić,Real Madrid,Croatie,1,0.0006422607578676942
17,Dimitri Payet,West Ham United,France,1,0.0006422607578676942
20,Sergio Agüero,Manchester City,Argentine,0,0.0
20,Kevin De Bruyne,Manchester City,Belgique,0,0.0
20,Paulo Dybala,Juventus FC,Argentine,0,0.0
20,Diego Godín,Atlético Madrid,Uruguay,0,0.0
20,Gonzalo Higuaín,SSC Naples Juventus FC,Argentine,0,0.0
20,Andrés Iniesta,FC Barcelone,Espagne,0,0.0
20,Koke,Atlético Madrid,Espagne,0,0.0
20,Hugo Lloris,Tottenham Hotspur,France,0,0.0
20,Thomas Müller,Bayern Munich,Allemagne,0,0.0
20,Manuel Neuer,Bayern Munich,Allemagne,0,0.0
20,Sergio Ramos,Real Madrid,Espagne,0,0.0
