Rang,Joueur,Nationalité,Club,Points,%
1,Andriy Chevtchenko,Ukraine,Milan,175,0.22435897435897437
2,Deco,Portugal,Porto Barcelone,139,0.1782051282051282
3,Ronaldinho,Brésil,Barcelone,133,0.17051282051282052
4,Thierry Henry,France,Arsenal,80,0.10256410256410256
5,Theodoros Zagorakis,Grèce,AEK Athènes Bologne,44,0.05641025641025641
6,Adriano,Brésil,Parme Inter Milan,27,0.03461538461538462
7,Pavel Nedvěd,République tchèque,Juventus,23,0.029487179487179487
8,Wayne Rooney,Angleterre,Everton Manchester United,22,0.028205128205128206
9,Ricardo Carvalho,Portugal,Porto Chelsea,18,0.023076923076923078
9,Ruud van Nistelrooy,Pays-Bas,Manchester United,18,0.023076923076923078
11,Angelos Charisteas,Grèce,Werder Brême,15,0.019230769230769232
12,Cristiano Ronaldo,Portugal,Manchester United,11,0.014102564102564103
12,Milan Baroš,République tchèque,Liverpool,11,0.014102564102564103
14,Zlatan Ibrahimović,Suède,Ajax Juventus,8,0.010256410256410256
15,Samuel Eto'o,Cameroun,Mallorca Barcelone,7,0.008974358974358974
15,Kaká,Brésil,Milan,7,0.008974358974358974
17,Traianos Dellas,Grèce,Rome,5,0.00641025641025641
17,Fernando Morientes,Espagne,Monaco Real Madrid,5,0.00641025641025641
17,Frank Lampard,Angleterre,Chelsea,5,0.00641025641025641
17,Didier Drogba,Côte d'Ivoire,Marseille Chelsea,5,0.00641025641025641
17,Gianluigi Buffon,Italie,Juventus,5,0.00641025641025641
22,Luís Figo,Portugal,Real Madrid,4,0.005128205128205128
23,Zinédine Zidane,France,Real Madrid,3,0.0038461538461538464
24,Rubén Baraja,Espagne,Valence,2,0.002564102564102564
24,Ludovic Giuly,France,Monaco Barcelone,2,0.002564102564102564
24,Maniche,Portugal,Porto,2,0.002564102564102564
24,Antonios Nikopolidis,Grèce,Panathinaïkos Olympiakos,2,0.002564102564102564
28,Paolo Maldini,Italie,Milan,1,0.001282051282051282
28,Vicente,Espagne,Valencie,1,0.001282051282051282
