Rang,Nom,Club,Sélection nationale,Points,%
1,Pavel Nedvěd,Juventus,Tchéquie,190,0.24358974358974358
2,Thierry Henry,Arsenal,France,128,0.1641025641025641
3,Paolo Maldini,Milan AC,Italie,123,0.1576923076923077
4,Andriy Chevtchenko,Milan AC,Ukraine,67,0.0858974358974359
5,Zinédine Zidane,Real Madrid,France,64,0.08205128205128205
6,Ruud van Nistelrooy,Manchester United,Pays-Bas,61,0.0782051282051282
7,Raúl,Real Madrid,Espagne,32,0.041025641025641026
8,Roberto Carlos,Real Madrid,Brésil,27,0.03461538461538462
9,Gianluigi Buffon,Juventus,Italie,19,0.02435897435897436
10,David Beckham,Manchester United Real Madrid,Angleterre,17,0.021794871794871794
11,Ronaldo,Real Madrid,Brésil,11,0.014102564102564103
12,Henrik Larsson,Celtic Glasgow,Suède,6,0.007692307692307693
13,Deco,FC Porto,Portugal,4,0.005128205128205128
13,Alessandro Del Piero,Juventus,Italie,4,0.005128205128205128
13,Dida,Milan AC,Brésil,4,0.005128205128205128
13,Roy Makaay,Deportivo La Corogne Bayern Munich,Pays-Bas,4,0.005128205128205128
13,Alessandro Nesta,Milan AC,Italie,4,0.005128205128205128
18,Nihat,Real Sociedad,Turquie,3,0.0038461538461538464
18,Francesco Totti,AS Roma,Italie,3,0.0038461538461538464
20,Michael Ballack,Bayern Munich,Allemagne,2,0.002564102564102564
20,Zlatan Ibrahimović,Ajax Amsterdam,Suède,2,0.002564102564102564
22,Filippo Inzaghi,Milan AC,Italie,1,0.001282051282051282
22,Jan Koller,Borussia Dortmund,Tchéquie,1,0.001282051282051282
22,Adrian Mutu,Parme FC Chelsea FC,Roumanie,1,0.001282051282051282
22,Ronaldinho,Paris SG FC Barcelone,Brésil,1,0.001282051282051282
22,Francesco Toldo,Inter Milan,Italie,1,0.001282051282051282
