Rang,Nom,Club,Nationalité,Points
1,Cristiano Ronaldo,Manchester United,Portugal,446
2,Lionel Messi,FC Barcelone,Argentine,281
3,Fernando Torres,Liverpool,Espagne,179
4,Iker Casillas,Real Madrid,Espagne,133
5,Xavi,FC Barcelone,Espagne,97
6,Andreï Archavine,Zénith Saint-Petersbourg,Russie,64
7,David Villa,Valence CF,Espagne,55
8,Kaká,AC Milan,Brésil,31
9,Zlatan Ibrahimović,Inter Milan,Suède,30
10,Steven Gerrard,Liverpool,Angleterre,28
11,Marcos Senna,Villarreal,Espagne,16
12,Emmanuel Adebayor,Arsenal,Togo,12
13,Wayne Rooney,Manchester United,Angleterre,11
14,Sergio Agüero,Atletico Madrid,Argentine,10
15,Frank Lampard,Chelsea,Angleterre,8
16,Franck Ribéry,Bayern Munich,France,7
17,Samuel Eto'o,FC Barcelone,Cameroun,6
18,Gianluigi Buffon,Juventus,Italie,5
19,Michael Ballack,Chelsea,Allemagne,4
19,Cesc Fàbregas,Arsenal,Espagne,4
21,Didier Drogba,Chelsea,Côte d’Ivoire,3
21,Sergio Ramos,Real Madrid,Espagne,3
21,Nemanja Vidic,Manchester United,Serbie,3
24,Edwin van der Sar,Manchester United,Pays-Bas,2
24,Ruud van Nistelrooy,Real Madrid,Pays-Bas,2
