Rang,Nom,Club,Nationalité,Points
1,Kaká,Milan AC,Brésil,444
2,Cristiano Ronaldo,Manchester United,Portugal,277
3,Lionel Messi,FC Barcelone,Argentine,255
4,Didier Drogba,Chelsea,Côte d'Ivoire,106
5,Andrea Pirlo,Milan AC,Italie,41
6,Ruud van Nistelrooy,Real Madrid,Pays-Bas,39
7,Zlatan Ibrahimović,Inter Milan,Suède,31
8,Francesc Fàbregas,Arsenal,Espagne,27
9,Robinho,Real Madrid,Brésil,24
10,Francesco Totti,AS Roma,Italie,20
11,Frédéric Kanouté,FC Séville,Mali,19
12,Ronaldinho,FC Barcelone,Brésil,18
13,Steven Gerrard,Liverpool,Angleterre,17
14,Juan Román Riquelme,Villarreal,Argentine,15
15,Dani Alves,FC Séville,Brésil,14
16,Filippo Inzaghi,Milan AC,Italie,12
17,Franck Ribéry,Olympique de MarseilleBayern Munich,France,10
18,Paolo Maldini,Milan AC,Italie,8
19,Gianluigi Buffon,Juventus,Italie,7
19,Petr Čech,Chelsea,République tchèque,7
19,Gennaro Gattuso,Milan AC,Italie,7
19,Thierry Henry,FC Barcelone,France,7
19,Clarence Seedorf,Milan AC,Pays-Bas,7
24,Fabio Cannavaro,Real Madrid,Italie,5
24,Michael Essien,Chelsea,Ghana,5
26,Wayne Rooney,Manchester United,Angleterre,4
27,Iker Casillas,Real Madrid,Espagne,3
27,Rogerio Ceni,São Paulo FC,Brésil,3
29,Younis Mahmoud,Al-Gharafa,Irak,2
30,Dimitar Berbatov,Tottenham,Bulgarie,1
30,Samuel Eto'o,FC Barcelone,Cameroun,1
30,Ryan Giggs,Manchester United,Pays de Galles,1
30,Guillermo Ochoa,Club América,Mexique,1
30,Carlos Tévez,West HamManchester United,Argentine,1
30,Robin van Persie,Arsenal,Pays-Bas,1
