Rang,Nom,Pays,Club,Points,Pos 1,Pos 2,Pos 3,Pos 4,Pos 5,%
1,Matthias Sammer,Allemagne,Borussia Dortmund,144,13.0,15.0,6.0,,1.0,0.18823529411764706
2,Ronaldo,Brésil,PSV Eindhoven / FC Barcelone,143,16.0,9.0,4.0,5.0,5.0,0.1869281045751634
3,Alan Shearer,Angleterre,Blackburn Rovers / Newcastle United,107,6.0,7.0,11.0,7.0,2.0,0.13986928104575164
4,Alessandro Del Piero,Italie,Juventus,69,4.0,6.0,5.0,4.0,2.0,0.09019607843137255
5,Jürgen Klinsmann,Allemagne,Bayern Munich,60,5.0,1.0,5.0,6.0,4.0,0.0784313725490196
6,Davor Šuker,Croatie,FC Séville / Real Madrid,38,1.0,1.0,5.0,4.0,6.0,0.04967320261437908
7,Éric Cantona,France,Manchester United,24,,3.0,1.0,4.0,1.0,0.03137254901960784
8,Marcel Desailly,France,Milan AC,22,1.0,,3.0,3.0,2.0,0.02875816993464052
9,Youri Djorkaeff,France,PSG /Inter Milan,20,1.0,2.0,,3.0,1.0,0.026143790849673203
10,Karel Poborský,République tchèque,Slavia Prague / Manchester United,15,,2.0,2.0,,1.0,0.0196078431372549
11,Nwankwo Kanu,Nigeria,Ajax Amsterdam / Inter Milan,14,,,1.0,5.0,1.0,0.018300653594771243
12,George Weah,Liberia,Milan AC,13,,,1.0,2.0,6.0,0.01699346405228758
13,Alen Bokšić,Croatie,Juventus,12,1.0,,2.0,,1.0,0.01568627450980392
13,Gabriel Batistuta,Argentine,Fiorentina,12,1.0,,1.0,1.0,2.0,0.01568627450980392
13,Andreas Köpke,Allemagne,Eintracht Francfort / Olympique de Marseille,12,,1.0,1.0,1.0,3.0,0.01568627450980392
16,Fabrizio Ravanelli,Italie,Juventus / Middlesbrough,9,,2.0,,,1.0,0.011764705882352941
16,Predrag Mijatović,Yougoslavie,Valence / Real Madrid,9,,1.0,,2.0,1.0,0.011764705882352941
18,Didier Deschamps,France,Juventus,8,1.0,,,1.0,1.0,0.01045751633986928
19,Kubilay Türkyılmaz,Suisse,Grasshopper Zurich,5,1.0,,,,,0.006535947712418301
20,David Seaman,Angleterre,Arsenal,4,,1.0,,,,0.00522875816993464
20,Raúl,Espagne,Real Madrid,4,,,1.0,,1.0,0.00522875816993464
22,Paolo Maldini,Italie,Milan AC,3,,,1.0,,,0.00392156862745098
22,Christian Ziege,Allemagne,Bayern Munich,3,,,1.0,,,0.00392156862745098
22,Patrik Berger,République tchèque,Borussia Dortmund / Liverpool Football Club,3,,,,1.0,1.0,0.00392156862745098
22,Trifon Ivanov,Bulgarie,Rapid Vienne,3,,,,,3.0,0.00392156862745098
26,Radek Bejbl,République tchèque,Slavia Prague / Atlético Madrid,2,,,,1.0,,0.00261437908496732
26,Manuel Rui Costa,Portugal,Fiorentina,2,,,,1.0,,0.00261437908496732
28,Ronald de Boer,Pays-Bas,Ajax Amsterdam,1,,,,,1.0,0.00130718954248366
28,Luís Figo,Portugal,FC Barcelone,1,,,,,1.0,0.00130718954248366
28,Brian Laudrup,Danemark,Glasgow Rangers,1,,,,,1.0,0.00130718954248366
28,Sergi Barjuan,Espagne,FC Barcelone,1,,,,,1.0,0.00130718954248366
28,Zinédine Zidane,France,Bordeaux / Juventus,1,,,,,1.0,0.00130718954248366
