Rang,Nom,Club,Sélection nationale,Pourcentage
1,Cristiano Ronaldo,Real Madrid,Portugal,"37,66 %"
2,Lionel Messi,FC Barcelone,Argentine,"15,76 %"
3,Manuel Neuer,Bayern Munich,Allemagne,"15,72 %"
4,Arjen Robben,Bayern Munich,Pays-Bas,"7,17 %"
5,Thomas Müller,Bayern Munich,Allemagne,"5,42 %"
6,Philipp Lahm,Bayern Munich,Allemagne,"2,90 %"
7,Neymar,FC Barcelone,Brésil,"2,21 %"
8,James Rodríguez,AS Monaco Real Madrid,Colombie,"1,47 %"
9,Toni Kroos,Bayern Munich Real Madrid,Allemagne,"1,43 %"
10,Ángel Di María,Real Madrid Manchester United,Argentine,"1,29 %"
11,Diego Costa,Atlético de Madrid Chelsea FC,Espagne,"1,02 %"
12,Gareth Bale,Real Madrid,Pays de Galles,"1,00 %"
12,Zlatan Ibrahimović,Paris Saint-Germain,Suède,"1,00 %"
14,Yaya Touré,Manchester City,Côte d’Ivoire,"0,86 %"
15,Mario Götze,Bayern Munich,Allemagne,"0,84 %"
16,Karim Benzema,Real Madrid,France,"0,75 %"
17,Andrés Iniesta,FC Barcelone,Espagne,"0,67 %"
18,Bastian Schweinsteiger,Bayern Munich,Allemagne,"0,57 %"
19,Javier Mascherano,FC Barcelone,Argentine,"0,55 %"
20,Thibaut Courtois,Atlético de Madrid Chelsea FC,Belgique,"0,51 %"
21,Eden Hazard,Chelsea,Belgique,"0,47 %"
22,Paul Pogba,Juventus,France,"0,40 %"
23,Sergio Ramos,Real Madrid,Espagne,"0,33 %"
