Rang,Nom,Club,Sélection nationale,Points,%
1,Michael Owen,Liverpool,Angleterre,176,0.23006535947712417
2,Raúl González,Real Madrid,Espagne,140,0.1830065359477124
3,Oliver Kahn,Bayern Munich,Allemagne,114,0.14901960784313725
4,David Beckham,Manchester United,Angleterre,102,0.13333333333333333
5,Francesco Totti,AS Roma,Italie,57,0.07450980392156863
6,Luís Figo,Real Madrid,Portugal,56,0.07320261437908497
7,Rivaldo,FC Barcelone,Brésil,20,0.026143790849673203
8,Andriy Chevtchenko,Milan AC,Ukraine,18,0.023529411764705882
9,Thierry Henry,Arsenal,France,14,0.018300653594771243
9,Zinédine Zidane,Juventus Real Madrid,France,14,0.018300653594771243
11,Bixente Lizarazu,Bayern Munich,France,10,0.013071895424836602
12,David Trezeguet,Juventus,France,7,0.009150326797385621
13,Stefan Effenberg,Bayern Munich,Allemagne,6,0.00784313725490196
14,Henrik Larsson,Celtic,Suède,4,0.00522875816993464
14,Alessandro Nesta,Lazio Rome,Italie,4,0.00522875816993464
16,Juan Sebastián Verón,Lazio Rome Manchester United,Argentine,3,0.00392156862745098
16,Hernán Crespo,Lazio Rome,Argentine,3,0.00392156862745098
18,Giovane Élber,Bayern Munich,Brésil,2,0.00261437908496732
18,Gaizka Mendieta,Valence Lazio Rome,Espagne,2,0.00261437908496732
18,Roberto Carlos da Silva,Real Madrid,Brésil,2,0.00261437908496732
18,Damiano Tommasi,AS Roma,Italie,2,0.00261437908496732
18,Sami Hyypiä,Liverpool,Finlande,2,0.00261437908496732
18,Emmanuel Olisadebe,Panathinaïkos,Pologne,2,0.00261437908496732
18,Ebbe Sand,Schalke 04,Danemark,2,0.00261437908496732
25,Roberto Baggio,Brescia,Italie,1,0.00130718954248366
25,Steven Gerrard,Liverpool,Angleterre,1,0.00130718954248366
25,Rui Costa,Fiorentina Milan AC,Portugal,1,0.00130718954248366
