Rang,Nom,Pays,Club,Points,Pos 1,Pos 2,Pos 3,Pos 4,Pos 5,%
1,Ronaldo,Brésil,FC Barcelone / Inter Milan,222,38.0,5.0,4.0,,,0.2901960784313726
2,Predrag Mijatović,Yougoslavie,Real Madrid,68,2.0,10.0,4.0,2.0,2.0,0.08888888888888889
3,Zinédine Zidane,France,Juventus de Turin,63,2.0,3.0,9.0,6.0,2.0,0.08235294117647059
4,Dennis Bergkamp,Pays-Bas,Arsenal,57,2.0,8.0,3.0,1.0,4.0,0.07450980392156863
5,Roberto Carlos,Brésil,Real Madrid,47,2.0,4.0,2.0,7.0,1.0,0.06143790849673202
6,Andreas Möller,Allemagne,Borussia Dortmund,40,1.0,5.0,2.0,3.0,3.0,0.05228758169934641
7,Raúl,Espagne,Real Madrid,35,,5.0,3.0,2.0,2.0,0.0457516339869281
8,Peter Schmeichel,Danemark,Manchester United,19,,,4.0,2.0,3.0,0.02483660130718954
9,Matthias Sammer,Allemagne,Borussia Dortmund,16,1.0,2.0,1.0,,,0.02091503267973856
9,Christian Vieri,Italie,Juventus de Turin / Atlético Madrid,16,,,2.0,3.0,4.0,0.02091503267973856
11,Youri Djorkaeff,France,Inter Milan,15,1.0,,2.0,1.0,2.0,0.0196078431372549
11,Jürgen Kohler,Allemagne,Borussia Dortmund,15,,1.0,2.0,2.0,1.0,0.0196078431372549
13,Luis Enrique,Espagne,FC Barcelone,14,,1.0,2.0,1.0,2.0,0.018300653594771243
14,Luís Figo,Portugal,FC Barcelone,12,,1.0,1.0,2.0,1.0,0.01568627450980392
15,Gianfranco Zola,Italie,Chelsea,11,1.0,,,2.0,2.0,0.01437908496732026
15,Krasimir Balakov,Bulgarie,VfB Stuttgart,11,,1.0,1.0,1.0,2.0,0.01437908496732026
17,Didier Deschamps,France,Juventus de Turin,10,,2.0,,,2.0,0.013071895424836602
17,Fernando Hierro,Espagne,Real Madrid,10,,1.0,1.0,1.0,1.0,0.013071895424836602
17,Clarence Seedorf,Pays-Bas,Real Madrid,10,,1.0,1.0,1.0,1.0,0.013071895424836602
20,Alessandro Del Piero,Italie,Juventus de Turin,9,1.0,,,2.0,,0.011764705882352941
20,Alan Shearer,Angleterre,Newcastle United,9,,,2.0,1.0,1.0,0.011764705882352941
20,David Beckham,Angleterre,Manchester United,9,,,1.0,2.0,2.0,0.011764705882352941
23,Gabriel Batistuta,Argentine,AC Fiorentina,7,,,,2.0,3.0,0.009150326797385621
24,Olaf Thon,Allemagne,Schalke 04,6,,1.0,,1.0,,0.00784313725490196
25,Juninho Paulista,Brésil,Middlesborough / Atlético Madrid,5,,,1.0,1.0,,0.006535947712418301
25,Paulo Sousa,Portugal,Borussia Dortmund,5,,,,2.0,1.0,0.006535947712418301
25,Lilian Thuram,France,Parme Football Club,5,,,,1.0,3.0,0.006535947712418301
28,Ryan Giggs,Pays de Galles,Manchester United,4,,,,2.0,,0.00522875816993464
29,Oliver Bierhoff,Allemagne,Udinese Calcio,3,,,1.0,,,0.00392156862745098
29,Angelo Peruzzi,Italie,Juventus de Turin,3,,,1.0,,,0.00392156862745098
29,Raí,Brésil,Paris Saint-Germain,3,,,1.0,,,0.00392156862745098
32,Victor Ikpeba,Nigeria,AS Monaco,2,,,,,2.0,0.00261437908496732
33,Laurent Blanc,France,FC Barcelone / Olympique de Marseille,1,,,,,1.0,0.00130718954248366
33,Ciro Ferrara,Italie,Juventus de Turin,1,,,,,1.0,0.00130718954248366
33,Rivaldo,Brésil,La Corogne / FC Barcelone,1,,,,,1.0,0.00130718954248366
33,Bent Skammelsrud,Norvège,Rosenborg BK,1,,,,,1.0,0.00130718954248366
