,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,BO_JK,Nom,Pays,Club,%,UCL_JK,won_UCL,Squad_JK,Nation_JK,winner_Bundesliga,winner_C3,finalist_C3,winner_UCL,finalist_UCL,winner_Club WC,finalist_Club WC,winner_Copa America,finalist_Copa America,winner_Euro,finalist_Euro,winner_Liga,winner_Ligue 1,winner_PL,winner_Serie A,winner_WC,finalist_WC
17,1996,Fiorentina,Serie A,Gabriel Batistuta,ARG,FW,26.0,1969.0,31.0,31.0,2761.0,30.7,19.0,,17.0,2.0,,5.0,0.0,0.62,,,0.55,,https://fbref.com/en/players/792d83d1/Gabriel-Batistuta,,,,,,,,,,1996Gabriel Batistuta,Gabriel Batistuta,Argentine,Fiorentina,0.01568627450980392,1996Fiorentina,0,1996Fiorentina,1996ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1996,Eint Frankfurt,Bundesliga,Andreas Köpke,GER,GK,33.0,1962.0,32.0,32.0,2812.0,31.2,0.0,,0.0,0.0,,1.0,1.0,0.0,,,0.0,,https://fbref.com/en/players/62afd251/Andreas-Kopke,,,,,,,,,,1996Andreas Köpke,Andreas Köpke,Allemagne,Eintracht Francfort / Olympique de Marseille,0.01568627450980392,1996Eint Frankfurt,0,1996Eint Frankfurt,1996GER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,1996,Juventus,Serie A,Fabrizio Ravanelli,ITA,FW,26.0,1968.0,26.0,23.0,1997.0,22.2,12.0,,7.0,5.0,,0.0,0.0,0.54,,,0.32,,https://fbref.com/en/players/dc462766/Fabrizio-Ravanelli,,,,,,,,,,1996Fabrizio Ravanelli,Fabrizio Ravanelli,Italie,Juventus / Middlesbrough,0.011764705882352941,1996Juventus,1,1996Juventus,1996ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1996,Juventus,Serie A,Didier Deschamps,FRA,MF,26.0,1968.0,30.0,27.0,2373.0,26.4,2.0,,2.0,0.0,,3.0,0.0,0.08,,,0.08,,https://fbref.com/en/players/1d9b994f/Didier-Deschamps,,,,,,,,,,1996Didier Deschamps,Didier Deschamps,France,Juventus,0.01045751633986928,1996Juventus,1,1996Juventus,1996FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1996,Arsenal,Premier League,David Seaman,ENG,GK,31.0,1963.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2d578837/David-Seaman,,,,,,,,,,1996David Seaman,David Seaman,Angleterre,Arsenal,0.00522875816993464,1996Arsenal,0,1996Arsenal,1996ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1996,Real Madrid,La Liga,Raúl,ESP,FW,18.0,1977.0,40.0,40.0,3520.0,39.1,19.0,,19.0,0.0,,4.0,0.0,0.49,,,0.49,,https://fbref.com/en/players/2b81295d/Raul,,,,,,,,,,1996Raúl,Raúl,Espagne,Real Madrid,0.00522875816993464,1996Real Madrid,0,1996Real Madrid,1996ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1996,Milan,Serie A,Paolo Maldini,ITA,DF,27.0,1968.0,30.0,30.0,2590.0,28.8,3.0,,3.0,0.0,,4.0,0.0,0.1,,,0.1,,https://fbref.com/en/players/14323e81/Paolo-Maldini,,,,,,,,,,1996Paolo Maldini,Paolo Maldini,Italie,Milan AC,0.00392156862745098,1996Milan,0,1996Milan,1996ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1996,Bayern Munich,Bundesliga,Christian Ziege,GER,"DF,MF",23.0,1972.0,33.0,33.0,2871.0,31.9,3.0,,3.0,0.0,,10.0,0.0,0.09,,,0.09,,https://fbref.com/en/players/c2984c2d/Christian-Ziege,,,,,,,,,,1996Christian Ziege,Christian Ziege,Allemagne,Bayern Munich,0.00392156862745098,1996Bayern Munich,0,1996Bayern Munich,1996GER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,1996,Dortmund,Bundesliga,Patrik Berger,CZE,MF,21.0,1973.0,27.0,13.0,1393.0,15.5,4.0,,4.0,0.0,,2.0,0.0,0.26,,,0.26,,https://fbref.com/en/players/f16325b3/Patrik-Berger,,,,,,,,,,1996Patrik Berger,Patrik Berger,République tchèque,Borussia Dortmund / Liverpool Football Club,0.00392156862745098,1996Dortmund,0,1996Dortmund,1996CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1996,Barcelona,La Liga,Luís Figo,POR,"FW,MF",22.0,1972.0,35.0,33.0,2839.0,31.5,5.0,,5.0,0.0,,9.0,2.0,0.16,,,0.16,,https://fbref.com/en/players/f20f347f/Luis-Figo,,,,,,,,,,1996Luís Figo,Luís Figo,Portugal,FC Barcelone,0.00130718954248366,1996Barcelona,0,1996Barcelona,1996POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1996,Bordeaux,Division 1,Zinédine Zidane,FRA,MF,23.0,1972.0,33.0,31.0,2703.0,30.0,6.0,,6.0,0.0,,5.0,1.0,0.2,,,0.2,,https://fbref.com/en/players/654f4e63/Zinedine-Zidane,,,,,,,,,,1996Zinédine Zidane,Zinédine Zidane,France,Bordeaux / Juventus,0.00130718954248366,1996Bordeaux,0,1996Bordeaux,1996FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1997,Barcelona,La Liga,Ronaldo,BRA,FW,19.0,1976.0,37.0,37.0,3196.0,35.5,34.0,,30.0,4.0,,4.0,0.0,0.96,,,0.84,,https://fbref.com/en/players/57feb553/Ronaldo,,,,,,,,,,1997Ronaldo,Ronaldo,Brésil,FC Barcelone / Inter Milan,0.2901960784313726,1997Barcelona,0,1997Barcelona,1997BRA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,1997,Juventus,Serie A,Zinédine Zidane,FRA,MF,24.0,1972.0,29.0,28.0,2306.0,25.6,5.0,,4.0,1.0,,6.0,2.0,0.2,,,0.16,,https://fbref.com/en/players/654f4e63/Zinedine-Zidane,,,,,,,,,,1997Zinédine Zidane,Zinédine Zidane,France,Juventus de Turin,0.08235294117647059,1997Juventus,0,1997Juventus,1997FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1997,Arsenal,Premier League,Dennis Bergkamp,NED,FW,27.0,1969.0,29.0,28.0,2379.0,26.4,12.0,9.0,9.0,3.0,3.0,5.0,1.0,0.45,0.34,0.79,0.34,0.68,https://fbref.com/en/players/d8703fda/Dennis-Bergkamp,,,,,,,,,,1997Dennis Bergkamp,Dennis Bergkamp,Pays-Bas,Arsenal,0.07450980392156863,1997Arsenal,0,1997Arsenal,1997NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1997,Real Madrid,La Liga,Roberto Carlos,BRA,DF,23.0,1973.0,37.0,37.0,3330.0,37.0,5.0,,5.0,0.0,,10.0,0.0,0.14,,,0.14,,https://fbref.com/en/players/6a3aaf62/Roberto-Carlos,,,,,,,,,,1997Roberto Carlos,Roberto Carlos,Brésil,Real Madrid,0.06143790849673202,1997Real Madrid,0,1997Real Madrid,1997BRA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,1997,Dortmund,Bundesliga,Andreas Möller,GER,MF,28.0,1967.0,26.0,26.0,2310.0,25.7,5.0,,5.0,0.0,,4.0,0.0,0.19,,,0.19,,https://fbref.com/en/players/2ea0fe2e/Andreas-Moller,,,,,,,,,,1997Andreas Möller,Andreas Möller,Allemagne,Borussia Dortmund,0.05228758169934641,1997Dortmund,1,1997Dortmund,1997GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1997,Real Madrid,La Liga,Raúl,ESP,FW,19.0,1977.0,42.0,41.0,3622.0,40.2,21.0,,21.0,0.0,,2.0,0.0,0.52,,,0.52,,https://fbref.com/en/players/2b81295d/Raul,,,,,,,,,,1997Raúl,Raúl,Espagne,Real Madrid,0.0457516339869281,1997Real Madrid,0,1997Real Madrid,1997ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
