Rang,Nom,Club,Nationalité,Points
1,Lionel Messi,FC Barcelone,Argentine,473
2,Cristiano Ronaldo,Manchester United Real Madrid,Portugal,233
3,Xavi,FC Barcelone,Espagne,170
4,Andrés Iniesta,FC Barcelone,Espagne,149
5,Samuel Eto'o,FC Barcelone Inter Milan,Cameroun,75
6,Kaká,Milan AC Real Madrid,Brésil,58
7,Zlatan Ibrahimović,Inter Milan FC Barcelone,Suède,50
8,Wayne Rooney,Manchester United,Angleterre,35
9,Didier Drogba,Chelsea,Côte d’Ivoire,33
10,Steven Gerrard,Liverpool,Angleterre,32
11,Fernando Torres,Liverpool,Espagne,22
12,Cesc Fàbregas,Arsenal,Espagne,13
13,Edin Džeko,Wolfsburg,Bosnie-Herzégovine,12
14,Ryan Giggs,Manchester United,Pays de Galles,11
15,Thierry Henry,FC Barcelone,France,9
16,Luís Fabiano,Séville FC,Brésil,8
16,Iker Casillas,Real Madrid,Espagne,8
16,Nemanja Vidić,Manchester United,Serbie,8
19,Diego Forlán,Atlético Madrid,Uruguay,7
20,Yoann Gourcuff,Girondins de Bordeaux,France,6
21,Andreï Archavine,Arsenal,Russie,5
21,Júlio César,Inter Milan,Brésil,5
21,Frank Lampard,Chelsea,Angleterre,5
24,Maicon Douglas,Inter Milan,Brésil,4
25,Diego,Werder Brême Juventus,Brésil,3
26,David Villa,Valence CF,Espagne,2
26,John Terry,Chelsea,Angleterre,2
28,Franck Ribéry,Bayern Munich,France,1
28,Yaya Touré,FC Barcelone,Côte d’Ivoire,1
