Rang,Nom,Club,Sélection nationale,Points,%
1,Luís Figo,FC Barcelone Real Madrid,Portugal,197,0.257516339869281
2,Zinédine Zidane,Juventus,France,181,0.23660130718954248
3,Andriy Chevtchenko,Milan AC,Ukraine,85,0.1111111111111111
4,Thierry Henry,Arsenal FC,France,57,0.07450980392156863
5,Alessandro Nesta,Lazio Rome,Italie,39,0.050980392156862744
5,Rivaldo,FC Barcelone,Brésil,39,0.050980392156862744
7,Gabriel Batistuta,Fiorentina AC,Argentine,26,0.03398692810457516
8,Gaizka Mendieta,Valence CF,Espagne,22,0.02875816993464052
9,Raúl González,Real Madrid,Espagne,18,0.023529411764705882
10,David Beckham,Manchester United,Angleterre,10,0.013071895424836602
10,Paolo Maldini,Milan AC,Italie,10,0.013071895424836602
12,Fabien Barthez,AS Monaco Manchester United,France,8,0.01045751633986928
12,Zlatko Zahovič,Olympiakos,Slovénie,8,0.01045751633986928
14,Roberto Carlos da Silva,Real Madrid,Brésil,7,0.009150326797385621
14,Francesco Toldo,Fiorentina AC,Italie,7,0.009150326797385621
14,Francesco Totti,AS Roma,Italie,7,0.009150326797385621
17,Patrick Kluivert,FC Barcelone,Pays-Bas,6,0.00784313725490196
18,Edgar Davids,Juventus,Pays-Bas,5,0.006535947712418301
18,Hakan Şükür,Galatasaray SK Inter Milan,Turquie,5,0.006535947712418301
18,Mário Jardel,FC Porto Galatasaray SK,Brésil,5,0.006535947712418301
18,Fernando Redondo,Real Madrid Milan AC,Argentine,5,0.006535947712418301
22,Pavel Nedved,Lazio Rome,Tchéquie,4,0.00522875816993464
22,David Trezeguet,AS Monaco Juventus,France,4,0.00522875816993464
24,Marcel Desailly,Chelsea FC,France,2,0.00261437908496732
24,Oliver Kahn,Bayern Munich,Allemagne,2,0.00261437908496732
24,Rui Costa,Fiorentina AC,Portugal,2,0.00261437908496732
27,Laurent Blanc,Inter Milan,France,1,0.00130718954248366
27,Claudio López,Valence CF Lazio Rome,Argentine,1,0.00130718954248366
27,Roy Keane,Manchester United,République d'Irlande,1,0.00130718954248366
27,Juan Sebastián Verón,Lazio Rome,Argentine,1,0.00130718954248366
