Year,Winner
1995,Juventus FC 
1996,AC Milan 
1997,Juventus FC 
1998,Juventus FC 
1999,AC Milan 
2000,SS Lazio 
2001,AS Rome 
2002,Juventus FC 
2003,Juventus FC 
2004,AC Milan 
2006,Internazionale
2007,Internazionale 
2008,Internazionale 
2009,Internazionale 
2010,Internazionale 
2011,AC Milan 
2012,Juventus FC 
2013,Juventus FC 
2014,Juventus FC 
2015,Juventus FC 
2016,Juventus FC 
2017,Juventus FC 
2018,Juventus FC 
2019,Juventus FC 
2020,Juventus FC 
2021,Internazionale 
